name,price
Electric Skillet,233.83
Roasted Vegetable Medley,166.0
Surimi Crab Sticks,52.13
Low-Fat Cottage Cheese,232.17
Sunflower Seeds,89.74
Smartphone Car Mount with Wireless Charging,170.79
Whole Wheat Pasta,243.83
Tailored Blazer,215.84
Chipotle Black Bean Salad,247.19
Silicone Ice Cube Tray,184.42
Belted Trench Coat,147.0
Whole Wheat Pasta,222.56
Over-Ear Headphones,222.19
Adjustable Dumbbells,69.82
Chili Lime Corn Chips,259.21
Classic Caesar Dressing,27.93
Fashionable Fanny Pack,252.88
Gardening Kneeler and Seat,174.67
Electric Pressure Cooker,114.67
Bamboo Utensil Holder,201.48
Ice Cube Tray with Lid,111.44
Travel Size Toiletry Bottles,292.08
Zesty Garlic Marinade,110.98
Canvas Tote Bag,279.19
Chocolate Chip Cookie Mix,106.57
Fruit and Nut Energy Bites,275.77
Puffer Winter Coat,259.09
Portable Laptop Table,98.23
Automatic Pet Feeder,178.58
Home Karaoke System,88.91
Wireless Printer,165.58
Thai Coconut Curry Sauce,240.65
Italian Breadsticks,19.59
Trainers with Mesh Inserts,2.85
Smashed Avocado with Lime,79.03
Mediterranean Olives,15.83
Plant Watering Spikes,282.97
Coconut Curry Sauce,272.95
Window Bird Feeder,69.37
Wrap Front Midi Skirt,12.23
Ski Goggles,252.03
Classic Vanilla Fudge,29.32
Mini Projector for Smartphones,283.97
Tomato Sauce,101.86
Wireless Wi-Fi Extender,57.03
Pet Safety Harness,14.17
Paint By Numbers Kit,232.61
Chopping Board,197.43
Italian Sausage Links,1.99
Classic Minestrone Soup,80.01
Sweet Potato Tots,172.42
Adjustable Yoga Mat Strap,17.45
Cold Brew Coffee Maker,208.14
Beef Chili,60.75
Insulated Lunch Bag,93.75
Dill Pickle Chips,172.56
French Onion Dip,138.15
Fitness Tracker with Heart Rate Monitor,250.8
Electric Ice Cream Maker,8.1
Digital Wireless Meat Thermometer,131.55
Digital Alarm Clock,122.76
Pumpkin Spice Latte Mix,147.21
Electric Meat Grinder,107.13
Lemon Herb Quinoa,239.84
Organic Green Tea,130.21
Organic Black Bean Burger,222.04
Self-Watering Planters,26.02
Electric Razor,124.9
Artisan Flatbreads,214.9
Vegetable Fried Rice,130.66
Mesh Sports Leggings,20.26
Classic Cheeseburger Mix,227.96
Electric Rice Cooker,35.71
Asian Stir-Fry Kit,166.92
Plant-Based Protein Bars,157.57
V-Neck Sweater,10.74
Frozen Broccoli,82.45
Zucchini,66.93
Smartphone Tripod with Bluetooth Remote,27.18
USB Wall Charger,299.97
Almond Butter Cups,179.68
Pumpkin Pie Spice,119.85
Self-Massaging Pillow,175.37
Herb Drying Rack,120.32
Video Camera,248.26
Air Fryer Oven,102.23
Wi-Fi Enabled Smart Light Switch,32.11
Coconut Macaroons,116.4
Turmeric Ginger Tea,87.59
Canvas Wall Art,34.9
Vegan Tacos,17.88
Sun Protection Clothing,256.41
High-Low Hem Tee,130.51
Lockable Bicycle Chain,164.94
Puffed Rice Cake,45.92
Organic Sweet Potatoes,240.04
Warm Knit Beanie,18.5
Caribbean Jerk Marinade,69.6
Coconut Milk Ice Cream,27.86
Coconut Cream Pie,276.85
Vegetable Spring Rolls,291.07
Cinnamon Rolls,32.63
Sliced Bell Peppers,129.43
Maple Pecan Oatmeal Cookies,122.21
Organic Quinoa Chips,244.48
Denim Jacket,169.38
Honeycrisp Apples,113.32
Smartphone Camera Lens Kit,136.45
Organic Blueberries,218.7
Sweet Potatoes,136.71
Kids' Art Supplies Kit,193.53
Chunky Knit Sweater,133.83
Pet Camera with Treat Dispenser,285.39
Fitness Tracker with Heart Rate Monitor,115.76
Scented Candle Set,263.09
Rice Cakes,252.13
Self-Watering Planter,293.96
Adjustable Height Standing Desk Converter,109.88
Rice Cakes,148.99
Wall Art,285.76
LED Makeup Mirror,254.82
Electric Ice Cream Maker,29.66
Instant Mashed Potatoes,190.74
Cocoa Powder,296.07
Cable Knit Cardigan,4.42
Lockable Bicycle Chain,179.72
Backpacking Tent,140.44
Crispy Chickpeas,284.96
Pocket Blanket,242.75
Luminous Night Light,224.03
Sweet Potato Tots,264.26
Mobile Workbench,112.66
Peanut Butter Cookies,179.21
Smart Thermos,190.49
DIY Candle Kit,78.82
Cilantro Lime Rice,209.72
Caribbean Jerk Marinade,208.34
Adjustable Window Blind,55.81
Adjustable Kneeling Pad,176.13
Children's Art Set,295.17
Coconut Bowls Set,251.9
Smart Wi-Fi Camera,287.5
Smartphone Stand,179.43
Digital Drawing Tablet,87.07
Scent Diffuser,174.71
Fleece Throw Blanket,145.53
Ginger Turmeric Shots,279.09
Dog Walking Waist Pack,127.99
Laptop Backpack,189.78
Portable Blender,241.73
Pet First Aid Kit,284.63
Cacao Powder,209.64
Adjustable Bar Stools,287.36
Kettle Corn Popcorn,256.57
Coconut Curry Lentils,249.72
Himalayan Salt Grinder,238.47
Turmeric Ginger Tea,280.37
Crafting Kit,224.78
Chipotle Seasoning Blend,226.61
Chic Ankle Strap Heels,93.72
Banana Nut Muffins,123.8
Whole Grain Hamburger Buns,133.31
Children's Art Set,52.68
Compost Bin,31.65
Children's Backpack,49.71
Harvest Grain Salad,91.75
Organic Quinoa,274.56
Tandoori Chicken Skewers,193.72
Electric Heat Press Machine,178.39
Wireless Smart Plug,208.65
Oversized Denim Shirt,206.74
Garden Kneeler and Seat,247.01
Pet Water Bottle,90.12
Garden Tool Belt,185.93
Spicy Thai Coconut Soup,217.88
Workstation Laptop Stand,177.25
Fitness Jump Rope,58.27
Adjustable Standing Desk,148.22
Cinnamon Roll Dough,163.56
Tomato Sauce,43.92
Tomato Paste,117.19
Pecan Pie Filling,109.94
Protein Powder,201.13
Mini Fondue Set,158.64
Samoas Cookie Mix,260.16
Maple Cinnamon Granola Bars,83.39
Magnetic Spice Containers,292.51
Instant Read Meat Thermometer,178.12
Cheese Stuffed Jalapenos,136.05
Apple Cinnamon Instant Oatmeal,122.18
Frozen Mixed Berries,51.48
Mango Sticky Rice Dessert,290.03
Fresh Lemons,114.91
Steak Seasoning Rub,190.14
Classic White T-Shirt,255.32
Garlic and Herb Cream Cheese,261.42
Wi-Fi Enabled Smart Light Switch,179.24
Buttermilk Pancakes,89.46
Peanut Butter Filled Pretzels,211.28
Garden Vegetable Soup,230.41
Creamy Coleslaw Mix,24.29
Sparkling Blood Orange Soda,188.66
Sliced Cheese,180.7
Salsa,294.3
Sea Salt Caramel Popcorn,16.97
DIY Candle Kit,81.99
Almond Milk,218.89
Compact Umbrella,179.02
Interactive Plush Toy,296.82
Maple Cinnamon Almonds,244.06
Smashed Avocado with Lime,298.29
Repair Tool Set for Home Improvement,228.46
Floral Summer Dress,103.98
Sports Water Bottle with Infuser,245.29
Stylish Wide-Leg Trousers,38.63
Sun-Dried Tomato Pesto,213.11
Smart Thermostat,123.5
Honey Almond Granola Bars,288.39
Whole Roasted Chicken,58.92
Cherry Almond Protein Bar,283.94
High-Quality Yoga Block,57.64
Adjustable Dog Harness,178.53
Pressure Washer Accessories Kit,14.92
Kids' Science Experiment Kit,127.13
Blender Bottle,211.93
Digital Food Scale,292.82
Gaming Mousepad,189.05
Rolling Cooler,191.09
Luxe Velvet Blazer,10.21
Marinated Artichokes,89.29
Green Smoothie Mix,106.83
Pear and Gorgonzola Salad,252.17
Digital Stopwatch Timer,274.89
Garden Kneeler and Seat,26.11
Adjustable Dumbbells,194.64
Pet Caress Brush,38.03
First Aid Kit,199.89
Hiking Water Bottle with Filter,289.85
Electrolyte Water Bottle,133.72
Tortilla Chips,24.17
Lentil Soup (canned),219.0
Sweet Chili Dipping Sauce,195.24
Creative Puzzle Game,64.74
Teriyaki Chicken Bowl,188.9
Floral Wrap Top,63.6
Over-Ear Headphones,90.46
Electric Food Steamer,100.36
Brownie Bites,126.64
Arcade Game Machine,241.3
Kids' Gardening Kit,92.87
Cinnamon Sugar Popcorn,258.81
Kids' Art Supplies Kit,133.54
Summer Tank Dress,22.46
Sparkling Blood Orange Soda,299.78
Portable Solar Generator,125.87
Silicone Stretch Lids,136.59
Granulated Sugar,209.51
Workstation Laptop Stand,10.26
Wireless Smart Plug,5.8
Miso Soup Mix,144.33
Bluetooth Shower Speaker,79.58
Dried Cranberries,81.26
Camping Chair with Cooler,50.35
Patterned Knit Scarf,11.03
Vegetarian Sausage Links,108.12
Cinnamon Roll Kit,77.94
Dog Frisbee Toy,34.18
Banana Nut Oatmeal Cups,161.6
Recipe Book Stand,296.07
Hummus Trio Pack,227.96
Blueberry Oatmeal Cups,72.93
Pepperoni Pizza Roll-Ups,191.25
Shatterproof Wine Glasses,171.11
Garden Kneeler and Seat,223.42
Apple Cinnamon Oatmeal,239.59
Cranberry Juice,196.71
Voice-Controlled Speaker,285.0
Oven Thermometer,249.61
Pumpkin Spice Creamer,83.89
Maple Pecan Granola,143.29
High-Pressure Handheld Shower Head,191.26
Thai Coconut Curry Sauce,98.08
Lentil Soup,63.16
Digital Wireless Meat Thermometer,245.1
Throw Pillow Covers,37.75
Brussels Sprouts,109.28
Pet Travel Carrier,115.9
Portable Massage Gun,51.74
Gardening Gloves with Claws,187.97
Digital Thermostat,33.58
Natural Fruit Snacks,79.51
Spicy Tuna Rolls,95.6
Stainless Steel Grater,147.56
Decorative Wall Tapestry,250.04
Cork Yoga Mat,114.55
Fresh Cilantro,164.09
Portable Air Compressor,198.1
Maple Pecan Pancake Mix,175.19
Pumpkin Spice Creamer,120.03
Fleece Lined Leggings,230.6
Coconut Cashew Yogurt,170.73
Herb Seasoned Couscous,222.67
Strawberry Banana Smoothie Pack,104.45
Pineapple Salsa,279.02
Potting Soil,48.54
Suede Ankle Booties,7.71
Printed Maxi Skirt,205.32
Comfortable Bed Pillow,120.69
Dried Apricots,42.97
Plaid Flannel Shirt,72.27
Coconut Yogurt,8.1
Natural Soy Candles,201.06
Cranberry Juice,194.91
Smart Light Switch,294.74
Eco-Friendly Yoga Mat,43.1
Chipotle Lime Salsa,240.35
Spaghetti and Meatball Dinner Kit,243.34
Ceramic Non-Stick Frying Pan,121.85
Outdoor Camping Lantern,72.31
Portable Solar Charger,18.06
Pumpkin Spice Creamer,162.22
Honey Sesame Chicken,80.6
Outdoor Folding Table,117.48
Shredded Cheese,237.95
Coconut Bowls Set,154.8
Waffle Maker,8.6
Chocolate Dipped Fruit,118.45
Organic Granola Cereal,286.29
Silicone Ice Cube Tray,50.14
Honey Butter Popcorn,220.13
Spice Rack,141.44
Cinnamon Roll Dough,75.76
Watering Can with Nozzle,280.14
Coconut Oil Spray,160.62
Beef Enchilada Casserole,166.25
Mango Salsa,195.57
Portable Air Purifier,223.43
Ultraviolet Phone Sanitizer,293.27
Cauliflower Crust Pizza,281.21
Pasta (Linguine),261.59
Ground Turkey,174.75
Teriyaki Salmon Fillets,62.14
Sous Vide Cooker,167.7
Apple Cinnamon Breakfast Muffins,124.95
Kids' Crafting Station,19.55
Oven-Baked Chicken Tenders,67.47
Chocolate Raspberry Tart,256.76
Solar Garden Lights,32.92
Casual Cropped Sweater,124.52
Mini Projector for Smartphones,154.8
Chocolate Covered Pretzels,216.84
White Rice,103.41
Voice-Controlled Speaker,149.91
Waffle Maker,214.4
Adjustable Stand for Tablets and Smartphones,216.88
Noise-Canceling Headphones,15.08
Pet Water Fountain with Filtration,81.92
Collapsible Folding Chair,119.07
Chili Powder,31.24
Adjustable Pedicure Footrest,34.18
Dog Training Collar,163.3
Sweet Potato Noodles,194.14
Baked Potato Chips,31.6
Homemade Salsa,137.06
