name,quantity,price
Sporty Leggings,1,39.99
Garlic Breadsticks,2,3.49
Garlic Parmesan Roasted Potatoes,3,3.99
Frozen Hash Browns,4,2.99
Poppy Seed Dressing,5,3.49
Mini Hand Gesture Drone,6,29.99
Honey Glazed Carrots,7,3.49
Coffee Maker,8,89.99
Puffed Rice Cake,9,2.49
Mobile Workbench,10,199.99
Vegan Protein Powder,11,34.99
Coconut Macaroons,12,4.99
Peanut Butter Chocolate Clusters,13,2.99
Chocolate Peanut Butter Cups,14,2.29
Harvest Grain Salad,15,5.49
Self-Cleaning Cat Litter Box,16,199.99
Leather Crossbody Bag,17,89.99
Garlic Herb Grilled Chicken,18,8.99
Smart Plant Monitor,19,24.99
Faux Leather Leggings,20,49.99
Balsamic Salad Dressing,21,2.99
Caraway Rye Bread,22,4.79
Basil Lemonade,23,2.99
Leather Notebook Cover,24,29.99
Sports Bottle,25,15.99
Curried Lentil Salad,26,4.29
Legging Pants,27,34.99
Savory Oats,28,2.49
Sushi Rice,29,3.99
Plant Pot Drip Trays,30,9.99
Stainless Steel Mixing Bowls,31,29.99
Yoga Mat Carrier,32,12.99
Coconut Granola,33,4.19
Honey Butter Popcorn,34,2.99
Honey Wheat Pretzels,35,3.49
Freestanding Wine Rack,36,79.99
Handmade Leather Wallet,37,49.99
Smart Plug,38,19.99
Crafting Kit,39,29.99
Lemon Zest Olive Oil,40,8.99
Peanut Butter Banana Smoothie,41,3.99
Mini Fondue Set,42,34.99
Chickpea Salad,43,5.49
Blueberry Muffin Mix,44,4.29
Potato Wedge Seasoning,45,2.49
Frozen Hash Browns,46,2.99
Digital Camera,47,299.99
Herb Seasoned Couscous,48,2.49
Savory Pumpkin Soup,49,3.89
Plant Growing Kit,50,22.99
Pepper Jack Cheese Slices,51,3.49
Voice-Controlled Speaker,52,99.99
Waffle Maker,53,39.99
Electric Heating Pad,54,20.99
Fashionable Scarves Set,55,24.99
Fire Roasted Salsa,56,2.49
Adjustable Skipping Rope,57,12.99
Collapsible Storage Crates,58,18.99
Durable Hiking Boots,59,89.99
Bock Beer Mustard,60,2.29
Non-Stick Baking Sheets,61,29.99
Peanut Butter Protein Balls,62,5.29
Hand Mixer,63,29.99
Teriyaki Chicken Skewers,64,8.99
Italian Sausage and Peppers,65,8.99
Vegetable Lasagna,66,6.99
Cinnamon Sugar Popcorn,67,2.89
Chickpea Pancakes,68,4.99
Personalized Cutting Board,69,34.99
Watercolor Paint Set,70,19.99
Vegetable Pizza Rolls,71,6.49
Garlic Butter Sauce,72,3.59
Peanut Butter,73,3.79
Marinara Parmesan Baked Ziti,74,8.49
Chic Jumpsuit,75,89.99
Instant Camera,76,89.99
Black Bean & Corn Salad,77,3.99
Reusable Produce Bags Set,78,14.99
Self-Watering Planters,79,49.99
Wireless Smart Plug,80,19.99
Non-Slip Yoga Socks,81,12.99
Raspberry Tart,82,5.49
Vegan Chocolate Cake Mix,83,4.29
Comfy Slippers,84,29.99
Beef Sirloin Steak,85,15.99
Caramel Sauce,86,3.49
Luxe Velvet Blazer,87,89.99
Sooji (Semolina),88,1.99
Incense Holder,89,14.99
Balsamic Vinegar,90,4.99
Bird Feeder,91,24.99
Raspberry Limeade,92,1.99
Crafting Kit,93,29.99
Phone Case,94,14.99
High-Pressure Handheld Shower Head,95,39.99
Fridge Magnet Set,96,15.99
Arcade Game Machine,97,299.99
High-Speed HDMI Cable,98,12.99
Camping Tarp,99,32.99
Avocado Oil Mayo,100,5.29
Teriyaki Chicken Skewers,101,8.99
Baking Powder,102,1.79
Roasted Garlic Butter,103,3.29
Asian Salad Mix,104,3.99
